Date,Name,holidays
2013-01-01,New Year's Day,1
2013-01-02,Reconquest Day,1
2013-01-06,Epiphany,1
2013-01-07,Epiphany observed,1
2013-02-11,Carnival Monday,1
2013-02-12,Carnival Tuesday,1
2013-02-13,Ash Wednesday,1
2013-02-14,Valentine's Day,1
2013-02-28,Day of Andalucía,1
2013-03-01,Day of the Balearic Islands,1
2013-03-13,Statute of the Autonomous City of Melilla Day,1
2013-03-19,Fathers' Day,1
2013-03-19,San Jose,1
2013-03-19,San Jose,1
2013-03-20,March Equinox,1
2013-03-24,Palm Sunday,1
2013-03-28,Maundy Thursday,1
2013-03-28,Maundy Thursday,1
2013-03-29,Good Friday,1
2013-03-30,Holy Saturday,1
2013-03-31,Easter Sunday,1
2013-03-31,Daylight Saving Time starts,1
2013-04-01,Easter Monday,1
2013-04-01,Easter Monday,1
2013-04-23,Day of Aragón,1
2013-04-23,St George's Day,1
2013-04-23,Castile and León Day,1
2013-05-01,Labor Day / May Day,1
2013-05-02,Day of Madrid,1
2013-05-05,Mothers' Day,1
2013-05-17,Galicia Literature Day,1
2013-05-19,Whit Sunday/Pentecost,1
2013-05-20,Whit Monday,1
2013-05-30,Corpus Christi,1
2013-05-30,Day of the Canary Islands,1
2013-05-31,Day of Castile-La Mancha,1
2013-06-09,Day of Murcia,1
2013-06-09,Day of La Rioja,1
2013-06-10,Day off for Day of Murcia,1
2013-06-10,Day off for Day of La Rioja,1
2013-06-13,San Antonio,1
2013-06-21,June Solstice,1
2013-06-24,Saint John the Baptist Day,1
2013-06-24,Saint John the Baptist Day,1
2013-07-25,Feast of Saint James the Apostle,1
2013-07-25,Feast of Saint James the Apostle,1
2013-07-28,Day of the Institutions,1
2013-08-05,The Day of Our Lady of Africa,1
2013-08-08,Eid al-Fitr,1
2013-08-11,The Day of Cantabria,1
2013-08-15,Assumption of Mary,1
2013-09-02,Day of the Independent City of Ceuta,1
2013-09-06,Elcano's Day,1
2013-09-08,Day of Asturias,1
2013-09-08,Day of Extremadura,1
2013-09-08,Virgin of the Victory,1
2013-09-09,Virgin of the Victory observed,1
2013-09-11,National Day of Catalonia,1
2013-09-15,Nuestra Señora de la Bien Aparecida,1
2013-09-17,Day of Melilla,1
2013-09-22,September Equinox,1
2013-10-09,Day of the Valencian Community,1
2013-10-12,Hispanic Day,1
2013-10-15,Eid al-Adha,1
2013-10-27,Daylight Saving Time ends,1
2013-11-01,All Saint's Day Holiday,1
2013-12-03,Day of Navarre,1
2013-12-06,Constitution Day Holiday,1
2013-12-08,Immaculate Conception,1
2013-12-09,Immaculate Conception observed,1
2013-12-21,December Solstice,1
2013-12-24,Christmas Eve,1
2013-12-25,Christmas Day,1
2013-12-29,Feast of the Holy Family,1
2013-12-31,New Year's Eve,1
2014-01-01,New Year's Day,1
2014-01-02,Reconquest Day,1
2014-01-06,Epiphany,1
2014-02-14,Valentine's Day,1
2014-02-28,Day of Andalucía,1
2014-03-01,Day of the Balearic Islands,1
2014-03-03,Carnival Monday,1
2014-03-04,Carnival Tuesday,1
2014-03-05,Ash Wednesday,1
2014-03-13,Statute of the Autonomous City of Melilla Day,1
2014-03-19,Fathers' Day,1
2014-03-19,San Jose,1
2014-03-19,San Jose,1
2014-03-20,March Equinox,1
2014-03-30,Daylight Saving Time starts,1
2014-04-13,Palm Sunday,1
2014-04-17,Maundy Thursday,1
2014-04-17,Maundy Thursday,1
2014-04-18,Good Friday,1
2014-04-19,Holy Saturday,1
2014-04-20,Easter Sunday,1
2014-04-21,Easter Monday,1
2014-04-21,Easter Monday,1
2014-04-23,Day of Aragón,1
2014-04-23,St George's Day,1
