Earth Skin Temperature, Humidity,Surface Pressure,Temperature at 2 Meters Range,Temperature at 2 Meters Minimum,Temperature at 2 Meters Maximum,Wind Speed,date
6.26,5.0,97.43,7.57,3.69,11.26,7.42,2013-01-01
5.8,4.82,98.08,8.99,2.08,11.08,4.56,2013-01-02
3.56,3.6,99.1,10.9,0.87,11.76,5.65,2013-01-03
5.07,4.27,99.11,14.18,0.88,15.06,3.07,2013-01-04
7.21,5.19,98.64,11.91,4.19,16.11,2.79,2013-01-05
5.9,4.52,98.35,11.3,2.83,14.12,5.03,2013-01-06
5.6,4.46,98.15,11.53,2.64,14.17,3.15,2013-01-07
4.58,3.72,98.27,11.2,1.99,13.19,3.53,2013-01-08
3.58,3.48,97.92,10.73,-0.84,9.9,4.62,2013-01-09
7.75,5.68,97.79,9.59,4.54,14.13,4.59,2013-01-10
5.14,4.46,97.81,9.29,2.5,11.79,5.02,2013-01-11
5.9,4.82,97.22,11.62,1.48,13.09,4.07,2013-01-12
4.5,4.27,96.87,6.88,2.38,9.26,5.38,2013-01-13
4.75,4.58,97.29,6.45,1.98,8.44,4.9,2013-01-14
6.13,4.76,97.05,5.72,4.43,10.15,8.55,2013-01-15
6.92,5.25,96.43,8.08,3.95,12.02,4.42,2013-01-16
5.94,4.33,96.71,6.82,2.8,9.62,7.25,2013-01-17
9.77,6.84,95.92,13.38,3.37,16.74,4.79,2013-01-18
8.4,6.41,94.18,7.22,5.75,12.97,7.18,2013-01-19
5.35,4.39,95.31,6.03,3.47,9.5,9.5,2013-01-20
4.15,3.97,96.23,8.8,-0.1,8.7,7.52,2013-01-21
1.79,3.54,96.22,11.2,-1.28,9.9,3.09,2013-01-22
3.12,3.72,96.42,8.41,-0.51,7.9,10.6,2013-01-23
5.15,4.64,96.44,8.2,1.75,9.94,10.98,2013-01-24
3.96,3.78,97.02,9.98,0.3,10.29,4.7,2013-01-25
6.6,5.07,97.11,9.05,2.6,11.66,10.4,2013-01-26
7.63,5.07,97.05,10.87,3.69,14.56,11.37,2013-01-27
5.81,4.33,97.92,9.88,2.64,12.51,7.37,2013-01-28
5.88,4.33,98.22,14.73,0.44,15.16,3.43,2013-01-29
9.2,5.8,98.26,14.44,4.29,18.73,3.74,2013-01-30
10.95,6.53,98.41,13.16,6.26,19.43,5.47,2013-01-31
9.48,5.25,97.35,11.67,5.3,16.98,5.97,2013-02-01
5.87,4.58,96.87,7.32,2.66,9.98,3.82,2013-02-02
3.19,3.23,98.09,8.81,-0.24,8.58,4.84,2013-02-03
7.48,5.62,98.33,12.32,1.85,14.18,3.98,2013-02-04
8.3,5.43,97.8,9.19,5.07,14.26,4.73,2013-02-05
